speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
POE,ARMITAGE HUX,27,"Look, I can't hold forever. If you reach him... tell him Leia has an urgent message for him.",1,18,
PEAVEY,ARMITAGE HUX,28,"I believe he's tooling with you, sir.",1,7,
POE,ARMITAGE HUX,29,About his mother.,1,3,
ARMITAGE HUX,NA,30,Open fire!,1,2,
POE,BB8,31,"BB-8, punch it!",1,3,
BB8,POE,32,dueeeeee duoooo,2,2,
PEAVEY,ARMITAGE HUX,33,He's going for the dreadnought.,1,5,
ARMITAGE HUX,PEAVEY,34,He's insane.,1,2,
POE,NA,35,That's got a kick.,1,4,
POE,TALLIE,36,"All right, taking out the cannons now. Tallie, start your approach.",1,11,
TALLIE,POE,37,Copy that.,1,2,
ARMITAGE HUX,CANADY,38,"Captain Canady, why aren't you blasting that puny ship?",1,9,
CANADY,ARMITAGE HUX,39,That puny ship is too small and at close range. We need to scramble our fighters!,1,16,
CANADY,GONERIL,40,Five bloody minutes ago.,1,4,
GONERIL,CANADY,41,He'll never penetrate our armor.,1,5,
CANADY,GONERIL,42,He's not trying to penetrate our armor. He's clearing out our surface cannons.,1,13,
POE,BB8,43,One cannon left. And here comes the parade.,1,8,
BB8,POE,44,duuu! du dooo,1,3,
POE,BB8,45,"Yeah, yeah, I see 'em!",1,5,
POE,POE,46,"No, no. Dammit! BB-8, my weapon systems are down. We gotta take out that last cannon... or our bombers are toast. Work your magic, buddy.",1,25,
CANADY,GONERIL,47,Are the auto-cannons primed?,1,4,
GONERIL,CANADY,48,"Primed and ready, sir.",1,4,
CANADY,GONERIL,49,What are we waiting for? Fire on the base!,1,9,
KAYDEL KO CONNIX,NA,50,Punch it!,1,2,
KAYDEL KO CONNIX,LEIA,51,"The last transport is in the air, the evacuation is complete.",1,11,
LEIA,POE,52,"You did it, Poe. Now get your squad back here so we can get out of this place.",1,18,
POE,LEIA,53,"No, General... We can do this. We have... a chance to take down a dreadnought. These things are fleet killers. We can't let it get away.",2,26,
LEIA,POE,54,"Disengage now... Commander, that is an order...",1,7,
LEIA,THREEPIO,55,"Wipe that nervous expression off your face, 3PO.",1,8,
THREEPIO,LEIA,56,"Oh. Well, I'll certainly try, General.",1,6,
THREEPIO,THREEPIO,57,Nervous?,1,1,
POE,BB8,58,"Let's go, BB-8... It's now or never!",1,7,
BB8,BB8,59,da da dooo do di do di dooooaaaaaaa,3,15,
POE,NA,60,"Yes! All clear, bring the bombs!",1,6,
BASCUS,CANADY,61,Captain... Resistance bombers approaching.,1,4,
CANADY,BASCUS,62,Of course they are.,1,4,
TALLIE,NA,63,"Bombers, keep that tight formation. Fighters, protect the bombers. It's not every day we get a shot at a dreadnought, so let's make this count.",1,25,
FINCH DALLOW,TALLIE,64,"Copy that, Blue Leader. If you get us there, we'll give it to them.",2,14,
PILOT,NA,65,"Copy, we're on it",1,4,
TEENE,NA,66,Fighters incoming.,1,2,
TALLIE,NA,67,"Gunners, look alive.",1,3,
PILOT 2,NA,68,Subfighters at 2-10!,1,3,
PILOT 3,NA,69,They're coming in!,1,3,
PILOT 2,NA,70,Form up!,1,2,
JAYCRIS TUBBS,NA,71,They're everywhere--!,1,2,
PILOT ?,NA,72,Here they come!,1,3,
PILOT 5,NA,73,Incoming fighters. Form up.,1,4,
PILOT 6,NA,74,Vector in at attack speed.,1,5,
PILOT 5,NA,75,Pull up!,1,2,
PILOT 7,NA,76,Flank right.,1,2,
PILOT 8,NA,77,Mayday! Mayday! Mayday! We're going down!,1,6,
CANADY,NA,78,Recharge the auto-cannons. Target their cruiser.,1,6,
BB8,POE,79,duu du do?,1,3,
POE,BB8,80,I see it.,1,3,
POE,TALLIE,81,"Tallie, they've targeted the fleet and begun the priming sequence.",1,10,
TALLIE,POE,82,Copy that. We are almost there.,1,6,
TALLIE,NA,83,Bombardiers... begin your drop sequence.,1,5,
NIX JERD,NA,84,I've got a visual on the target. We're approaching the sweet spot. Bombs are armed.,1,15,
BASCUS,NA,85,Auto-cannons aimed.,1,2,
GONERIL,NA,86,40 seconds to full charge.,1,5,
CANADY,NA,87,Destroy that last bomber!,1,4,
POE,PAIGE,88,"Paige, come in. We're over the target. Why aren't your bay doors open? You're the only bomber left. It's all down to you!",1,23,
PAIGE,NA,89,Nix!,1,1,
POE,PAIGE,90,"Paige! Drop the payload, now!",1,5,
FINCH DALLOW,NA,91,Look out!,1,2,
PAIGE,NA,92,No!,1,1,
TALLIE,NA,93,Bombs away! Direct hit! Dreadnought down!,2,6,
MONITOR,ARMITAGE HUX,94,"General, Supreme Leader Snoke is making contact from his ship.",1,10,
ARMITAGE HUX,MONITOR,95,Excellent. I'll take it in my chambers.,1,7,
SNOKE,ARMITAGE HUX,96,General Hux.,1,2,
ARMITAGE HUX,SNOKE,97,"Ah, good. Supreme leade-",1,4,
SNOKE,ARMITAGE HUX,98,My disappointment in your performance can not be overstated.,1,9,
ARMITAGE HUX,SNOKE,99,"They can't get away, Supreme Leader. We have them tied on the end of a string.",1,16,
FINN,NA,100,Rey!,1,1,
BB8,POE,101,"da da da du-o, deeeee, di di du-uu, du di di di, da da, du de",1,13,
POE,BB8,102,"Well done, pal. ""Finn naked leaking bag""? What? Did you fry a chip?",1,13,
BB8,POE,103,"dee de, da du",1,6,
POE,FINN,104,"Finn! Hey, buddy. It's so good to see you. What? Let's... We need to get you dressed. Come on. You must have a thousand questions.",1,25,
FINN,POE,105,Where's Rey?,1,2,
REY,LUKE,106,Master Skywalker? Master Skywalker? I'm from the Resistance. Your sister Leia sent me. We need your help. Hello?,1,18,
LUKE,REY,107,Go away.,1,2,
LUKE,CHEWIE,108,"Chewie, what are you doing here?",1,6,
REY,LUKE,109,He said you're coming back with us.,1,7,
LUKE,REY,110,How did you find me?,1,5,
REY,LUKE,111,Long story we'll tell you in the Falcon.,1,8,
LUKE,REY,112,Falcon?,1,1,
LUKE,REY,113,Wait. Where's Han?,1,3,
SNOKE,ARMITAGE HUX,114,"Tied on a string, indeed, General Hux. Well done. The Resistance will soon be in our grasp.",1,17,
ARMITAGE HUX,SNOKE,115,"Thank you, Supreme Leader.",1,4,
SNOKE,KYLO REN,116,"You wonder why I keep a rabid cur In a such a place of power? A cur's weakness, properly manipulated can be a sharp tool. How's your wound?",1,28,
KYLO REN,SNOKE,117,It's nothing.,1,2,
SNOKE,KYLO REN,118,"The mighty Kylo Ren. When I found you I saw what all masters live to see. Raw, untamed power. And beyond that, something truly special. The potential of your bloodline. A new Vader. Now I fear... I was mistaken.",1,39,
KYLO REN,SNOKE,119,I've given everything I have to you. To the dark side.,1,11,
SNOKE,KYLO REN,120,"Take that ridiculous thing off. Yes, there it is. You have too much of your father's heart in you, young Solo.",2,21,
KYLO REN,SNOKE,121,I killed Han Solo. When the moment came I didn't hesitate.,1,11,
SNOKE,KYLO REN,122,"And look at you, the deed split your spirit to the bone. You were unbalanced, bested by a girl who had never held a lightsaber! You failed! Skywalker lives. The seed of the Jedi Order lives. As long as it does, hope lives in the galaxy. I thought you would be the one to snuff it out. Alas, you're no Vader. You're just a child in a mask.",2,68,
KYLO REN,NA,123,Prepare my ship.,1,3,
REY,LUKE,124,There's no light left in Kylo Ren. He's only getting stronger. The First Order will control all the major systems within weeks. We need your help. We need the Jedi Order back. We need Luke Skywalker.,1,36,
LUKE,REY,125,You don't need Luke Skywalker.,1,5,
REY,LUKE,126,Did you hear a word I just said?,1,8,
LUKE,REY,127,You think what? I'm gonna walk out with a laser sword and face down the whole First Order? What did you think was going to happen here? Do you think that I came to the most unfindable place in the galaxy for no reason at all? Go away.,1,48,
REY,LUKE,128,I'm not leaving without you! Careful!,2,6,
LUKE,REY,129,You're wasting your time. Who are you?,2,7,
REY,LUKE,130,I know this place.,1,4,
LUKE,REY,131,"Built a thousand generations ago to keep these. The original Jedi texts. Just like me, they're the last of the Jedi religion. You've seen this place. You've seen this island.",1,30,
REY,LUKE,132,Only in dreams.,1,3,
LUKE,REY,133,Who are you?,1,3,
REY,LUKE,134,The Resistance sent me.,1,4,
LUKE,REY,135,They sent you? What's special about you? Where are you from?,1,11,
REY,LUKE,136,Nowhere.,1,1,
LUKE,REY,137,No one's from nowhere.,1,4,
REY,LUKE,138,Jakku.,1,1,
LUKE,REY,139,"All right, that is pretty much nowhere. Why are you here, Rey, from nowhere?",1,14,
REY,LUKE,140,The Resistance sent me. We need your help. The First Order has become unstoppable.,1,14,
LUKE,REY,141,Why are you here?,1,4,
REY,LUKE,142,Something inside me has always been there. But now it's awake. And I'm afraid. I don't know what it is or what to do with it. And I need help.,1,30,
LUKE,REY,143,You need a teacher. I can't teach you.,1,8,
REY,LUKE,144,Why not? I've seen your daily routine. You're not busy.,1,10,
LUKE,REY,145,I will never train another generation of Jedi. I came to this island to die. It's time for the Jedi to end.,1,22,
REY,LUKE,146,"Why? Leia sent me here with hope. If she was wrong, she deserves to know why. We all do.",1,19,
LEIA,POE,147,You're demoted.,1,2,
POE,LEIA,148,What? Wait! We took down a dreadnought.,1,7,
LEIA,POE,149,At what cost?,1,3,
POE,LEIA,150,"You start an attack, you follow through.",1,7,
LEIA,POE,151,"Poe, get your head out of your cockpit. There are things you can not solve By jumping into an X-wing and blowing something up! I need you to learn that.",1,30,
POE,LEIA,152,There were heroes on that mission.,1,6,
LEIA,POE,153,Dead heroes. No leaders.,1,4,
FINN,LEIA,154,We're really nowhere. How's Rey gonna find us now? A cloaked binary beacon?,1,13,
LEIA,FINN,155,To light her way home.,1,5,
FINN,LEIA,156,"All right, Well, until she comes back, what's the plan?",1,10,
LEIA,FINN,157,We need to find a new base.,1,7,
LARMA D'ACY,FINN,158,One with enough power to get a distress signal to our allies scattered in the Outer Rim.,1,17,
ADMIRAL ACKBAR,NA,159,Proximity alert!,1,2,
RESISTANCE FEMALE SOLDIER,NA,160,They found us.,1,3,
POE,POE,161,That's impossible. That's Snoke's ship. You've gotta be kidding me. ,2,10,
POE,KAYDEL KO CONNIX,162,Can we jump to lightspeed?,1,5,
KAYDEL KO CONNIX,POE,163,We have enough fuel for just one jump.,1,8,
POE,KAYDEL KO CONNIX,164,Do it. We've got to get out of here.,1,9,
LEIA,"FINN, KAYDELL KO CONNIX, POE",165,Wait. They tracked us through lightspeed.,1,6,
FINN,LEIA,166,That's impossible.,1,2,
LEIA,FINN,167,Yes. And they've done it.,1,5,
BB8,NA,168,deeuu,1,1,
FINN,LEIA,169,"So if we jump to lightspeed... they'll just find us again, and we'll be out of fuel. They've got us.",1,20,
POE,LEIA,170,"Not yet, they don't. Permission to jump in an X-wing and blow something up?",1,14,
LEIA,POE,171,"Permission granted. Admiral, spin us around!",1,6,
BB8,POE,172,"deee, di de, di de",1,5,
ADMIRAL ACKBAR,NA,173,Reverse. Rotate the shields!,1,4,
RESISTANCE MONITOR MALE,NA,174,"To your stations! Move, move, move!",1,6,
KYLO REN,NA,175,Follow my lead.,1,3,
MALE ANNOUNCER,NA,176,Green squadron to launch position. Clear the launch traffic.,1,9,
BB8,POE,177,bee boo buee,1,2,
POE,BB8,178,Don't wait for me! Jump in and fire her up!,1,10,
FEMALE ANNOUNCER,NA,179,"Technicians, secure supplies for launch conditions.",1,6,
PILOT,NA,180,Move! Move!,1,2,
BB8,NA,181,"daaaaaa wa woo, be bo da di, wiiii",2,7,
FINN,POE,182,"Poe, are you all right?",1,5,
POE,FINN,183,We need to get outta range of those Star Destroyers.,1,10,
ADMIRAL ACKBAR,LEIA,184,We need to what?,1,4,
LEIA,ADMIRAL ACKBAR,185,Full engines ahead. Get out of range of the Star Destroyers and the fighters will fall back.,1,17,
ADMIRAL ACKBAR,NA,186,"All craft, full engines! Concentrate rear shields.",1,7,
ARMITAGE HUX,KYLO REN,187,"Ren, the Resistance have pulled out of reach. We can't cover you at this distance. Return to the fleet.",1,19,
ARMITAGE HUX,PEAVEY,188,What is the point of all this if we can't blow up three tiny cruisers?,1,15,
PEAVEY,ARMITAGE HUX,189,"They are faster and lighter, sir. They can't lose us but they can keep at a range where our cannons are ineffective against their shields.",1,25,
ARMITAGE HUX,PEAVEY,190,"Well, keep up the barrage. Let's at least remind them that we're still here.",1,14,
PEAVEY,ARMITAGE HUX,191,Very good sir.,1,3,
ARMITAGE HUX,NA,192,They won't last long burning fuel like this. It's just a matter of time.,1,14,
POE,NA,193,"Move! Outta the way, everybody! Make room!",1,7,
MEDIC,NA,194,"Her vital signs are weak, but she is fighting.",1,9,
R2D2,LUKE,195,"ba da, ba daaa, si di deee da di ds",1,0,
LUKE,R2D2,196,"Artoo? Artoo! Yes. Yes I know. Hey, sacred island, watch the language. Old friend. I wish I could make you understand. But I'm not coming back. Nothing can make me change my mind.",1,34,
LEIA,LUKE,197,"Years ago, you served my father in the Clone Wars. Now he begs you to help him in his struggle against the Empire. I regret that I am unable to present my father's request in person...",1,36,recording
LUKE,R2D2,198,That was a cheap move.,1,5,
R2D2,LUKE,199,ru-ou,1,1,
LEIA,LUKE,200,"But my ship has fallen under attack, and I fear that my mission to bring you to Alderaan failed. This is our most desperate hour. Help me, Obi-Wan Kenobi. You're my only hope.",1,33,recording
LUKE,REY,201,Tomorrow at dawn. Three lessons. I will teach you the ways of the Jedi and why they need to end.,1,20,
LARMA D'ACY,GROUP,202,"General Organa, Leia, is unconscious but recovering. That's the only good news I have. Admiral Ackbar, all our leadership, they're gone.",1,22,
THREEPIO,THREEPIO,203,"Oh, dear, oh, dear.",1,4,
LARMA D'ACY,GROUP,204,"Leia was the sole survivor on the bridge. If she were here, she'd say save your sorrow for after the fight. And to that end, the chain of command is clear as to who should take her place. Vice Admiral Holdo of the cruiser Ninka.",1,45,
AMILYN HOLDO,LARMA D'ACY,205,"Thank you, Commander.",1,3,
AMILYN HOLDO,GROUP,206,"Four hundred of us on three ships. We're the very last of the Resistance. But we're not alone. In every corner of the galaxy, the downtrodden and oppressed know our symbol and they put their hope in it. We are the spark that will light the fire that will restore the Republic. That spark, this Resistance, must survive. That is our mission. Now, to your stations. And may the Force be with us.",1,73,
POE,C'AI THRENALLI,207,"That's Admiral Holdo? Battle of Chyron Belt, Admiral Holdo? Not what I expected.",1,13,
C'AI THRENALLI,POE,208,Poe.,1,1,
POE,AMILYN HOLDO,209,"Vice Admiral? Commander Dameron. With our current fuel consumption, there is a very limited amount time that we will stay out of range of those Star Destroyers.",1,27,
AMILYN HOLDO,POE,210,Very kind of you to make me aware. Let's get me those fuel projections.,1,12,
POE,AMILYN HOLDO,211,"And we need to shake them before we find a new base, so... What's our plan?",1,16,
AMILYN HOLDO,POE,212,"Our plan, captain? Not commander, right? Wasn't it Leia's last official act to demote you? Because of your dreadnought plan. Where we lost our entire bombing fleet?",1,27,
POE,AMILYN HOLDO,213,"""Captain."" ""Commander."" You can call me whatever you like. I just want to know what's going on.",1,17,
AMILYN HOLDO,POE,214,Of course you do. I understand. I've dealt with plenty of trigger happy flyboys like you. You are impulsive. Dangerous. And the last thing we need right now. So stick to your post and follow my orders.,1,37,
FEMALE P.A. ANNOUNCER,NA,215,Turbo-lifts seven and eight offline due to maintenance.,1,8,
ROSE,FINN,216,What are you doing here?,1,5,
FINN,ROSE,217,Hey. Hi. I was... you know...,1,6,
ROSE,FINN,218,You're Finn! The Finn!,1,4,
FINN,ROSE,219,The Finn?,1,2,
ROSE,FINN,220,Sorry... I work behind pipes all day. Doing talking withResistance heroes is not my forte. Doing... Doing talking. I'm Rose.,1,20,
FINN,ROSE,221,"Breathe. Yeah, look I'm not a Resistance hero, but it was nice talking to you, Rose. May the Force be with you.",2,22,
ROSE,FINN,222,"Wow. You, too. Ok. But you are a hero. You left the First Order, what you did on the Starkiller Base. When we heard about it, my sister Paige said... ""Rose, that's a real hero."" ""Know right from wrong and don't run away from when it gets hard,"" she said. You know... Just this morning, I've had to stun three people who were trying to jump ship in this escape pod.",1,71,
FINN,ROSE,223,What?,1,1,
ROSE,FINN,224,They were running away.,1,4,
FINN,ROSE,225,That's disgraceful.,1,2,
ROSE,FINN,226,I know.,1,2,
FINN,ROSE,227,"Anyway, I gotta get back to what I was doing, so.",1,11,
ROSE,FINN,228,What were you doing?,1,4,
FINN,ROSE,229,"Just, just doing some checks.",1,5,
ROSE,FINN,230,Checking the escape pods.,1,4,
FINN,ROSE,231,"No, it's routine checks.",1,4,
ROSE,FINN,232,By boarding one with a packed bag.,1,7,
FINN,ROSE,233,Okay. Listen... I can't move. I can't move.,2,8,
ROSE,FINN,234,I know.,1,2,
FINN,ROSE,235,What happened?,1,2,
ROSE,FINN,236,I'm taking you to the bridge and turning you in for desertion.,1,12,
FINN,ROSE,237,"I was not deserting, I told you that.",1,8,
ROSE,FINN,238,My sister just died protecting the fleet. And you were running away.,1,12,
FINN,ROSE,239,"I'm sorry. This fleet is doomed. If my friend comes back to it, she's doomed too. I've gotta get this... I've gotta get this beacon very far away from here, then she'll find me and be safe.",1,37,
ROSE,FINN,240,You're a selfish traitor.,1,4,
FINN,ROSE,241,"Look, we can't outrun the First Order fleets.",1,8,
ROSE,FINN,242,We can jump to lightspeed!,1,5,
FINN,ROSE,243,Well they can track us through lightspeed.,1,7,
ROSE,FINN,244,They can track us through lightspeed?,1,6,
FINN,ROSE,245,"Yeah. They'll just show up 30 seconds later and we'll have blown a ton of fuel. Which, by the way, we're dangerously short on.",1,24,
ROSE,FINN,246,They can track us through lightspeed.,1,6,
FINN,ROSE,247,Yes. And they could... I can't feel my teeth. What did you shoot me with?,1,15,
ROSE,FINN,248,Active tracking.,1,2,
FINN,ROSE,249,What now?,1,2,
ROSE,FINN,250,Hyperspace tracking is a new tech but the principle must be the same as any active tracker.,1,17,
FINN,ROSE,251,So they're only tracking us...,1,5,
ROSE,FINN,252,Only tracking us...,1,3,
FINN,ROSE,253,From the lead ship.,1,4,
ROSE,FINN,254,From the lead ship. But we can't get to the tracker. It is an A-class process they'll control from the main bridge.,2,22,
FINN,ROSE,255,"Well, I mean, yes, but every A-class process... Has a dedicated power breaker.",2,13,
ROSE,FINN,256,"Has a dedicated power breaker. But... Wait, but who knows where the breaker room is on the Star Destroyer?",2,19,
FINN,ROSE,257,I'm the guy who used to mop it. If I can get us there...,1,14,
ROSE,FINN,258,I can shut their tracker down.,1,6,
POE,FINN,259,"Just give it to me one more time, simpler.",1,9,
FINN,POE,260,"So the First Order's only tracking us from one Destroyer, the lead one.",1,13,
POE,FINN,261,So we blow that one up?,1,6,
FINN,POE,262,"I like where you're heading, but no. They'd only start tracking us from another Destroyer.",1,15,
ROSE,POE,263,But if we can...,1,4,
FINN,POE,264,"If we sneak on board the lead Destroyer and disable the tracker without them realizing, then we can...",1,18,
ROSE,"POE, FINN",265,They won't realize if it's for one system cycle. About six minutes.,1,12,
FINN,POE,266,Sneak on board. Disable the tracker. Our fleet escapes before they realize.,1,12,
POE,"FINN, ROSE",267,How'd you two meet?,1,4,
ROSE,POE,268,Just luck.,1,2,
POE,ROSE,269,Yeah? Good luck?,1,3,
ROSE,POE,270,Not sure yet.,1,3,
FINN,POE,271,"Poe, we've got to do this. It will save the fleet and it'll save Rey.",1,15,
THREEPIO,"POE, FINN, ROSE",272,If I surely must be the voice of reason... Admiral Holdo will never agree to this plan.,1,17,
POE,THREEPIO,273,"Yeah, you're right, 3PO. It's a need-to-know plan, and she doesn't.",1,11,
THREEPIO,POE,274,That wasn't exactly...,1,3,
POE,"FINN, ROSE",275,All right... You guys shut down that tracker. I'll be here to jump us to lightspeed. The question is... How do we sneak the two of you onto Snoke's destroyer?,1,30,
ROSE,"POE, FINN",276,We steal clearance codes.,1,4,
FINN,"ROSE, POE",277,"No, they are Bio-Hexaencripted and rescrambled every hour. We can't get through their security shields undetected. Nobody can.",1,18,
MAZ,"FINN, POE, ROSE",278,"Could I do it? Of course I could do it. But I can't do it, I'm a little tied down right now.",1,22,
FINN,MAZ,279,Maz? What is happening?,1,4,
MAZ,"FINN, POE, ROSE, THREEPIO",280,"A union dispute, you do NOT want to hear about it. But, lucky for you... There's exactly one guy I trust that can crush that kind of security! He's a master codebreaker, an ace pilot... a poet with a blaster.",1,40,
THREEPIO,"FINN, POE, ROSE, MAZ",281,Oh my. It seems that this codebreaker can practically do everything.,1,11,
MAZ,"THREEPIO, FINN, POE, ROSE",282,"Oh yes, he can. You will find him with a red ploom flower on his lapel... rolling at a high stakes table... in the casino... on Canto Bight.",1,28,
POE,"FINN, ROSE",283,"Canto Bight? - No, no. That's...",1,6,
POE,MAZ,284,Maz... Is there any way we can take care of this ourselves?,1,12,
MAZ,POE,285,"Sorry, kiddo. This is rarified cracking.",1,6,
MAZ,"POE, FINN, ROSE",286,"If you want to get on that Destroyer, I only know one option. Find the master codebreaker.",1,17,
KYLO REN,REY,287,You'll bring Luke Skywalker to me. You're not doing this. The effort would kill you. Can you see my surroundings?,1,20,force
REY,KYLO REN,288,You are going to pay for what you did!,1,9,force
KYLO REN,REY,289,I can't see yours. Just you. So no. This is something else. Luke.,1,13,force
LUKE,REY,290,What's that about?,1,3,
REY,LUKE,291,I was cleaning my blaster. It went off.,1,8,
LUKE,REY,292,Let's get started.,1,3,
REY,LUKE,293,Who were those things?,1,4,
LUKE,REY,294,Caretakers. Island natives. They've kept up the Jedi structures since they were built.,1,13,
REY,LUKE,295,I don't think they like me.,1,6,
LUKE,REY,296,Can't imagine why.,1,3,
REY,LUKE,297,"Master Skywalker, we need you to bring the Jedi back because Kylo Ren is strong with the dark side of the Force. Without the Jedi, we won't stand a chance against him.",1,32,
LUKE,REY,298,What do you know about the Force?,1,7,
REY,LUKE,299,It's a power that Jedi have that lets them control people and make things float.,1,15,
LUKE,REY,300,"Impressive. Every word in that sentence was wrong. Lesson one, sit here, legs crossed. The Force is not a power you have. It's not about lifting rocks. It's the energy between all things, a tension, a balance that binds the universe together.",1,42,
REY,LUKE,301,OK. But what is it?,1,5,
LUKE,REY,302,"Close your eyes. Breathe. Now, reach out.",1,7,
REY,LUKE,303,I feel something.,1,3,
LUKE,REY,304,You feel it?,1,3,
REY,LUKE,305,"Yes, I feel it.",1,4,
LUKE,REY,306,That's the Force.,1,3,
REY,LUKE,307,Really?,1,1,
LUKE,REY,308,"Wow, it must be really strong with you.",1,8,
REY,LUKE,309,I've never felt anythi----! Ow! You meant reach out like... I'll try again.,1,13,
LUKE,REY,310,Breathe. Just breathe. Reach out with your feelings. What do you see?,1,12,
REY,LUKE,311,"The island. Life. Death and decay, that feeds new life. Warmth. Cold. Peace. Violence.",1,14,
LUKE,REY,312,And between it all?,1,4,
REY,LUKE,313,Balance. An energy. A Force.,1,5,
LUKE,REY,314,And inside you?,1,3,
REY,LUKE,315,"Inside me, that same Force.",1,5,
LUKE,REY,316,"And this is the lesson. That Force does not belong to the Jedi. To say that if the Jedi die, the light dies, is vanity. Can you feel that?",1,29,
REY,LUKE,317,There's something else beneath the island. A place. A dark place.,1,11,
LUKE,REY,318,"Balance. Powerful light, powerful darkness.",1,5,
REY,LUKE,319,It's cold. It's calling me.,1,5,
LUKE,REY,320,"Resist it, Rey. Rey? Rey! You went straight to the dark.",1,11,
REY,LUKE,321,That place was trying to show me something.,1,8,
LUKE,REY,322,It offered you something you needed. And you didn't even try to stop yourself.,1,14,
REY,LUKE,323,But I didn't see you. Nothing from you. You've closed yourself off from the Force. Of course you have.,1,19,
LUKE,REY,324,I've seen this raw strength only once before in Ben Solo. It didn't scare me enough then. It does now.,1,20,
AMILYN HOLDO,KAYDEL KO CONNIX,325,What was that?,1,3,
KAYDEL KO CONNIX,AMILYN HOLDO,326,"Nothing, Admiral. Passing debris.",1,4,
FINN,ROSE,327,The fleet's only got 18 hours of fuel left. We gotta hurry.,1,12,
REY,CHEWIE,328,Still can't reach the Resistance?,1,5,
REY,CHEWIE,329,"Keep at it. If you get through, check their status. And ask about Finn.",1,14,
KYLO REN,REY,330,Why is the Force connecting us? You and I.,1,9,force
REY,KYLO REN,331,Murderous snake. You're too late. You lost. I found Skywalker.,1,10,force
KYLO REN,REY,332,"Did he tell you what happened? The night I destroyed his temple, did he tell you why?",1,17,force
REY,KYLO REN,333,I know everything I need to know about you.,1,9,force
KYLO REN,REY,334,"You do? Ah, you do. You have that look in your eyes. From the forest. When you called me a monster.",1,21,force
REY,KYLO REN,335,You are a monster.,1,4,force
KYLO REN,REY,336,"Yes, I am.",1,3,force
ROSE,FINN,337,"OK. We get in, we find this codebreaker, we get out.",1,11,
FINN,ROSE,338,Do you know this town? Canto Bight?,1,7,
ROSE,FINN,339,From stories. It's a terrible place filled with the worst people in the galaxy.,1,14,
FINN,ROSE,340,Great.,1,1,
SLOWEN LO,SPACE COPS,341,"I told those two, I said, ""This is a public beach. You can't park that shuttle here."" But they just lit off toward the casino.",1,25,
THAMM,NA,342,"Place your bets. Place your bets. All the bets on the table right now, right now! Place your bets here.",1,20,
FINN,ROSE,343,"Aw, yes! This place is great!",1,6,
ROSE,FINN,344,OK. Maz says that this Master Codebreaker would have a red plom bloom on his lapel. Let's find him and get out of here.,1,24,
THAMM,NA,345,"Well played. The house wins. Where are your manners, more like?",1,11,
ROSE,FINN,346,Come on!,1,2,
BB8,NA,347,"du da de di du. weeeuuu, waaauuu. Wa? di do. Waooo. Roo? weeeoiau. riiiow. roiaw",1,14,
FINN,ROSE,348,We've covered this whole casino. Zero red plom blooms. Where is this guy?,1,13,
ROSE,FINN,349,Were those what I think they were?,1,7,
FINN,ROSE,350,What are those things?,1,4,
ROSE,FINN,351,Fathiers. I've never seen a real one.,1,7,
FINN,ROSE,352,"Look, this whole place is beautiful. I mean, come on. Why do you hate it so much?",1,17,
