speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
REY,BB8,43,Classified. Really?,1,2,
REY,BB8,44,"Me too. Big secret. Niima Outpost is that way, stay off Kelvin Ridge. Keep away from the Sinking Fields in the north, you'll drown in the sand.",3,27,
REY,BB8,45,Don't follow me. Town is that way.,1,7,
REY,BB8,46,No!,1,1,
REY,BB8,47,"In the morning, you go.",1,5,
REY,BB8,48,You're welcome.,1,2,
KYLO REN,POE,49,I had no idea we had the best pilot in the Resistance on board. Comfortable?,3,15,
POE,KYLO REN,50,Not really.,1,2,
KYLO REN,POE,51,I'm impressed. No one has been able to get out of you what you did with the map.,3,18,
POE,KYLO REN,52,Might wanna rethink your technique.,1,5,
KYLO REN,POE,53,Where is it?,1,3,
POE,KYLO REN,54,The Resistance will not be intimidated by you.,1,8,
KYLO REN,POE,55,Where... is it?,1,3,
KYLO REN,ARMITAGE HUX,56,It's in a droid. A BB unit.,1,7,
ARMITAGE HUX,KYLO REN,57,"Well then. If it's on Jakku, we'll soon have it.",1,10,
KYLO REN,ARMITAGE HUX,58,I leave that to you.,1,5,
REY,BB8,59,Don't give up. He still might show up. Whoever it is you're waiting for. Classified. I know all about waiting.,4,20,
REY,BB8,60,For my family. They'll be back. One day. Come on.,2,10,
UNKAR,REY,61,These five pieces are worth... Let me see here... One half portion.,2,12,
REY,UNKAR,62,Last week they were a half portion each.,2,8,
UNKAR,REY,63,What about the droid?,1,4,
REY,UNKAR,64,What about him?,1,3,
UNKAR,REY,65,I'll pay for him. Sixty portions.,2,6,
REY,UNKAR,66,Actually... the droid's not for sale. Come on.,2,8,
UNKAR,NA,67,Follow the girl and get that droid.,1,7,
FINN,STORMTROOPER,68,Ren wants the prisoner.,1,4,
FINN,POE,69,"Turn here. Listen carefully: if you do exactly as I say, I can get you out of here.",3,18,
POE,FINN,70,what-?,1,1,
FINN,POE,71,"This is a rescue, I'm helping you escape. Can you fly a TIE fighter?",2,14,
POE,FINN,72,You with the Resistance--?!,1,4,
FINN,POE,73,What? No no no! I'm breaking you out.,2,8,
FINN,POE,74,Can you fly a TIE fighter?,1,6,
POE,FINN,75,"I can fly anything. Why, why are you helping me?",2,10,
FINN,POE,76,Because it's the right thing to do.,1,7,
POE,FINN,77,You need a pilot.,1,4,
FINN,POE,78,I need a pilot.,1,4,
POE,FINN,79,We're gonna do this.,1,4,
FINN,POE,80,...Yeah?,1,1,
FINN,FINN,81,"Okay, stay calm, stay calm.",1,5,
POE,FINN,82,I am calm.,1,3,
FINN,POE,83,"I'm talking to myself. Not yet. Okay, go. This way.",2,10,
POE,FINN,84,I always wanted to fly one of these things. Can ya shoot?,2,12,
FINN,POE,85,"Blasters, I can!",1,3,
POE,FINN,86,"Okay, same principal! Use the toggle on the left to switch between missiles, cannons, and mag pulse -- use the site on the right to aim, triggers to fire!",5,29,
FINN,POE,87,This is very complicated,1,4,
POE,FINN,88,I can fix this.,1,4,
STAR DESTROYER TECHNICIAN,FIRST ORDER COLONEL,89,We have an unsanctioned departure from bay two.,2,8,
FIRST ORDER COLONEL,STAR DESTROYER TECHNICIAN,90,Alert General Hux and stop that fighter.,2,7,
OFFICER,STAR DESTROYER TECHNICIAN,91,Fourteen failed,1,2,
POE,FINN,92,I got it! This thing really moves.,2,7,
POE,FINN,93,"All right, we gotta take out as many cannons as we can or we're not gonna get very far!",3,19,
FINN,POE,94,All right!,1,2,
POE,FINN,95,"I'm gonna get us in position, just stay sharp! Up ahead! Up ahead! You see it? I've got us dead centered. It's a clean shot.",5,25,
FINN,POE,96,"Okay, got it. Yeah!",2,4,
POE,FINN,97,Yes!,1,1,
FINN,POE,98,Did you see that?! Did you see that?,1,8,
POE,FINN,99,"I saw it! Hey, what's your name?",1,7,
FINN,POE,100,fn-2187!,1,1,
POE,FINN,101,Fn- whaa?,1,2,
FINN,POE,102,That's the only name they ever gave me!,1,8,
POE,FINN,103,"Well I ain't using it! Fn, huh? Finn. I'm gonna call you Finn! Is that all right?",3,17,
FINN,POE,104,"""Finn."" Yeah, ""Finn"", I like that! I like that!",2,9,
POE,FINN,105,I'm Poe. Poe Dameron.,1,4,
FINN,POE,106,"Good to meet you, Poe!",1,5,
POE,FINN,107,"Good to meet you too, Finn!",1,6,
LIEUTENANT MITAKA,ARMITAGE HUX,108,"Sir, they've taken out our turbolasers--",1,6,
ARMITAGE HUX,LIEUTENANT MITAKA,109,Use the ventral cannons.,1,4,
LIEUTENANT MITAKA,ARMITAGE HUX,110,"Yes, sir. Bringing them online --",1,6,
KYLO REN,ARMITAGE HUX,111,General Hux. Is it the Resistance pilot?,2,7,
ARMITAGE HUX,KYLO REN,112,"Yes, and he had help. From one of our own. We're checking the registers now to identify which Stormtrooper it was.",4,21,
KYLO REN,ARMITAGE HUX,113,The one from the village. FN-2187,1,6,
LIEUTENANT MITAKA,ARMITAGE HUX,114,Sir. Ventral cannons hot.,1,4,
ARMITAGE HUX,LIEUTENANT MITAKA,115,Fire.,1,1,
POE,FINN,116,"One's coming towards you. My right, your left. Do you see it?",2,12,
FINN,POE,117,Hold on! I see it!,1,5,
POE,FINN,118,Nice shot.,1,2,
FINN,POE,119,Where are you going?,1,4,
POE,FINN,120,We're going back to Jakku. That's where.,1,7,
FINN,POE,121,No no no! We can't go back to Jakku! We need to get outta this system!,2,16,
POE,FINN,122,I got to get to my droid before the First Order does!,2,12,
FINN,POE,123,What- a droid?!,1,3,
POE,FINN,124,That's right. He's a BB unit! Orange and white: one of a kind.,2,13,
FINN,POE,125,I don't care what color he is! No droid can be that important!,2,13,
POE,FINN,126,"This one is, pal.",1,4,
FINN,POE,127,"We need to get as far away from the First Order as we can! We go back to Jakku, we die!",3,21,
POE,FINN,128,That droid's got a map that leads straight to Luke Skywalker!,2,11,
FINN,POE,129,"Oh, you gotta be kidding me! I-",1,7,
PHASMA,ARMITAGE HUX,130,"Fn-2187 reported to my division, was evaluated and sent to Reconditioning.",1,11,
ARMITAGE HUX,PHASMA,131,No prior signs of non-conformity?,1,5,
PHASMA,ARMITAGE HUX,132,This was his first offense.,1,5,
WOMAN TECHNICIAN #1,ARMITAGE HUX,133,General. They've been hit.,1,4,
ARMITAGE HUX,WOMAN TECHNICIAN,134,Destroyed?,1,1,
WOMAN TECHNICIAN #1,ARMITAGE HUX,135,Disabled. They were headed back to Jakku. The fighter is projected to crash in the Goazon Badlands,1,17,
ARMITAGE HUX,WOMAN TECHNICIAN,136,They were going back for the droid-,1,7,
ARMITAGE HUX,PHASMA,137,send a squad to the wreckage.,1,6,
FINN,FINN,138,Poe! Poe! Poe! Poe! I got you! Poe!!! Poe!!!,3,9,
ARMITAGE HUX,KYLO REN,139,"Supreme Leader Snoke was explicit. Capture the droid if we can, but destroy it if we must.",1,17,
KYLO REN,ARMITAGE HUX,140,"How capable are your soldiers, General?",1,6,
ARMITAGE HUX,KYLO REN,141,I won't have you question my methods.,1,7,
KYLO REN,ARMITAGE HUX,142,They're obviously skilled at committing high treason. Perhaps Leader Snoke should consider using a clone army.,4,16,
ARMITAGE HUX,KYLO REN,143,My men are exceptionally trained- programmed from birth-,2,8,
KYLO REN,ARMITAGE HUX,144,Then they should have no problem retrieving the droid. Unharmed.,2,10,
ARMITAGE HUX,KYLO REN,145,"Careful, Ren. That your personal interests not interfere with orders from Leader Snoke.",3,13,
KYLO REN,ARMITAGE HUX,146,"I want that map. For your sake, I suggest you get it.",2,12,
FINN,NA,147,Water... water... Is there water..,1,5,
REY,NA,148,What? Get off him!,1,4,
FINN,NA,149,Hey,1,1,
REY,BB8,150,Who?,1,1,
REY,BB8,151,Him?,1,1,
REY,FINN,152,"What's your hurry, thief?",1,4,
FINN,REY,153,What-?! Thief? OW! HEY! What?!,2,5,
REY,FINN,154,The jacket! This droid says you stole it!,2,8,
FINN,REY,155,"I've had a pretty messed up day, all right?! So I'd appreciate it if you stop accusing me --!!! Stop it!",4,21,
REY,FINN,156,Where'd you get it? It belongs to his master.,2,9,
FINN,REY,157,"It belonged to Poe Dameron. That was his name, right? He was captured... by the First Order! I helped him escape but our ship crashed.",5,25,
FINN,"BB8, REY",158,Poe didn't make it.,1,4,
FINN,BB8,159,I tried to help him. I'm,1,6,
FINN,BB8,160,sorry...,1,1,
REY,FINN,161,So you're with the Resistance?,1,5,
FINN,REY,162,"Obviously. Yes. I am. I'm with the Resistance, yeah. I am with the Resistance.",3,14,
REY,FINN,163,I've never met a Resistance fighter. before.,1,7,
FINN,REY,164,"Well, this is what we look like. Some of us. Others look different.",2,13,
REY,FINN,165,"BB-8 says he's on a secret mission, he has to get back to your base.",2,15,
FINN,REY,166,"Apparently he's carrying a map that leads to Luke Skywalker, and everyone's after it.",3,14,
REY,FINN,167,Luke Skywalker? I thought he was a myth.,2,8,
REY,BB8,168,What?,1,1,
REY,FINN,169,What are you doing?!,1,4,
FINN,REY,170,Come on!,1,2,
FINN,BB8,171,"Come on, BB-8!",1,3,
REY,FINN,172,Let go of me!,1,4,
FINN,REY,173,"Come on, we gotta move!",1,5,
REY,FINN,174,I know how to run without you holding my hand!,1,10,
REY,BB8,175,BB-8 stay close! This way!,2,5,
STORMTROOPER,NA,176,Call in the air strike!,1,5,
FINN,REY,177,Come on,1,2,
REY,FINN,178,They're shooting at both of us!,1,6,
FINN,REY,179,"Yeah, they saw you with me! You're marked!",2,8,
REY,FINN,180,"Well, thanks for that!",1,4,
FINN,REY,181,I'm not the one who chased you down with a stick!,2,11,
FINN,REY,182,Does anyone have blasters around here?!,1,6,
REY,BB8,183,Are you okay?,1,3,
REY,FINN,184,Stop taking my hand! Hey!,2,5,
FINN,REY,185,Are you okay?,1,3,
REY,FINN,186,Yeah. Follow me.,2,3,
FINN,REY,187,We can't outrun them!,1,4,
REY,FINN,188,We might in that quad-jumper!,1,5,
FINN,REY,189,"Hey, We need a pilot!",1,5,
REY,FINN,190,We've got one!,1,3,
FINN,REY,191,You?! You? What about that ship?,2,6,
REY,FINN,192,That one's garbage! The garbage'll do! Gunner position's down there!,3,10,
FINN,REY,193,You ever fly this thing?,1,5,
REY,FINN,194,No! This ship hasn't flown in years!,1,7,
FINN,FINN,195,"Great. I can do this, I can do this--",2,9,
REY,REY,196,"I can do this, I can do this-",1,8,
UNKAR,NA,197,Hey!!!! That'S Miiiiiiine!!!,1,3,
FINN,REY,198,Wait! Stay low! Stay low!,1,5,
REY,FINN,199,What?,1,1,
FINN,REY,200,Stay low! It confuses their tracking!,1,6,
REY,BB8,201,"BB-8, hold on!",1,3,
REY,BB8,202,I'm going low!!!,1,3,
REY,FINN,203,What are you doing back there? Are you ever gonna fire back?!,1,12,
FINN,REY,204,I'm working on it! Are the shields up?,1,8,
REY,FINN,205,Not so easy without a co-pilot!,1,6,
FINN,REY,206,"Try sitting in this thing! We need cover, quick!",2,9,
REY,FINN,207,We're about to get some!,1,5,
REY,FINN,208,I hope.,1,2,
FINN,FINN,209,Damn it! Come on... come on...,2,6,
REY,FINN,210,Nice shot!,1,2,
FINN,FINN,211,I'm getting pretty good at this!,1,6,
FINN,REY,212,"The cannon's stuck in forward position, I can't move it! You gotta lose 'em!",3,14,
REY,FINN,213,Get ready!,1,2,
FINN,REY,214,Okay! For what? Are we really doing this?!,2,8,
REY,REY,215,no! Oh no!,1,3,
REY,FINN,216,Nice shooting!,1,2,
FINN,REY,217,now that some Flying,1,4,
REY,FINN,218,Thanks!,1,1,
FINN,REY,219,How did you do that?,1,5,
REY,FINN,220,I don't know,1,3,
FINN,REY,221,No one trained you?,1,4,
REY,FINN,222,I've flown some ships but I've never left the planet,1,10,
FINN,REY,223,really,1,1,
REY,FINN,224,Your last shot was dead on,1,6,
FINN,REY,225,That was amazing!,1,3,
REY,FINN,226,You got him with one blast!,1,6,
FINN,REY,227,You set me up for it!,1,6,
REY,FINN,228,It was perfect!,1,3,
FINN,REY,229,That was pretty good.,1,4,
REY,BB8,230,You're ok. He's with the Resistance. He's going to get you home. We both will.,3,15,
REY,FINN,231,I don't know your name.,1,5,
FINN,REY,232,Finn. What's yours.,1,3,
REY,FINN,233,I'm Rey.,1,2,
FINN,REY,234,Rey...,1,1,
REY,FINN,235,Help me with this! Quick!,1,5,
FINN,REY,236,Whoa! What's going on?,1,4,
LIEUTENANT MITAKA,KYLO REN,237,Sir. We were unable to acquire the droid on Jakku. It escaped capture aboard a stolen Corellian YT model freighter.,4,20,
KYLO REN,LIEUTENANT MITAKA,238,The droid... stole a freighter?,1,5,
LIEUTENANT MITAKA,KYLO REN,239,"Not exactly, sir. It had help. We have no confirmation, but we believe FN-2187 may have been helped in the escape-",4,21,
KYLO REN,LIEUTENANT MITAKA,240,Anything else?,1,2,
LIEUTENANT MITAKA,KYLO REN,241,The two were accompanied by a girl.,1,7,
KYLO REN,LIEUTENANT MITAKA,242,What girl?,1,2,
REY,FINN,243,It's the motivator! Grab me a Harris wrench-- check in there!,2,11,
FINN,REY,244,How bad is it?!,1,4,
REY,FINN,245,"If we wanna live, not good!",1,6,
FINN,REY,246,"They're hunting for us now, we gotta get outta this system!",2,11,
REY,FINN,247,"BB-8 said the location of the Resistance Base is ""need to know""- if I'm taking you there, I need to know!",3,21,
FINN,REY,248,This?,1,1,
FINN,BB8,249,You gotta tell us where the base is.,1,8,
FINN,BB8,250,"I don't speak that. All right, between us, I'm not with the Resistance, okay? --I'm just trying to get away from the First Order-- but you tell us where your base is, I'll get you there first-- deal?! Droid, please.",7,40,
REY,FINN,251,"Pilex driver, hurry! So where's your base?",2,7,
FINN,BB8,252,"Go on BB-8, tell her. Please!",2,6,
REY,"FINN, REY",253,The Ileenium system?,1,3,
FINN,REY,254,"Yeah, the Ileenium system, that's the one-- get us there as fast as you can.",3,15,
REY,FINN,255,"I'll drop you two at Ponemah Terminal. I need the bonding tape, hurry!",2,13,
FINN,REY,256,What about you?,1,3,
REY,FINN,257,I gotta get back to Jakku!,1,6,
FINN,REY,258,Back to jak--?! Why does everyone always wanna go back to Jakku?!! That place is...,2,15,
REY,FINN,259,"It's not that one! No. No. The one I'm pointing to! No. NO. NO. If we don't patch it up, the propulsion tank will overflow and flood the ship with poisonous gas!",5,32,
FINN,REY,260,This?,1,1,
REY,FINN,261,Yes!,1,1,
FINN,REY,262,Hey. Rey. You're a pilot-- you can fly anywhere! Why go back?! You got a family? You got a boyfriend? Cute boyfriend?,4,22,
REY,FINN,263,"None of your business, that's why!",1,6,
FINN,REY,264,...That can't be good.,1,4,
REY,FINN,265,--No it can't be-- Someone's locked onto us-- all controls are overridden. Get off. Get off! See anything?,4,18,
FINN,REY,266,...Oh no. It's the First Order.,2,6,
REY,FINN,267,What do we do-- there must be something--,1,8,
FINN,REY,268,You said poisonous gas--,1,4,
REY,FINN,269,--I fixed that --,1,4,
FINN,REY,270,Can you unfix it?,1,4,
REY,BB8,271,Come on BB-8.,1,3,
FINN,REY,272,I got him. I'm ok,1,5,
FINN,BB8,273,"BB-8, get off me",1,4,
REY,FINN,274,Do You think this'll work on the Stormtroopers?,2,8,
FINN,REY,275,"Yeah. Their masks filter out smoke, not toxins. Hurry!",3,9,
REY,FINN,276,I'm hurrying!,1,2,
HAN,CHEWIE,277,"Chewie, we're home.",1,3,
HAN,REY,278,Where are the others? Where's the pilot?,1,7,
REY,HAN,279,...I'm the pilot...,1,3,
HAN,FINN,280,You?,1,1,
REY,HAN,281,"No, it's true: we're the only ones on board.",2,9,
FINN,HAN,282,You can understand that thing?,1,5,
HAN,FINN,283,"And ""that thing"" can understand you, too, so watch it.",1,10,
HAN,"FINN, REY",284, Come on out of there,1,5,
HAN,"FINN, REY",285,Where'd you get this ship?,1,5,
REY,HAN,286,Niima Outpost.,1,2,
HAN,"FINN, REY",287,Jakku?! That junkyard?,1,3,
FINN,"HAN, REY",288,Thank you! Junkyard!,1,3,
HAN,CHEWIE,289,Told ya we should've double-checked the Western Reaches!,2,8,
HAN,"FINN, REY",290,"Who had it, Ducain?",1,4,
REY,HAN,291,"I stole it from Unkar Plutt. He stole it from the Irving Boys, who stole it from Ducain.",3,18,
HAN,REY,292,"Who stole it from me! Well, you tell him Han Solo just stole back the Millennium Falcon for good.",3,19,
REY,HAN,293,This is the Millennium Falcon? You're Han Solo?,2,8,
HAN,REY,294,I used to be.,1,4,
FINN,HAN,295,Han Solo? The Rebellion General?,1,5,
REY,FINN,296,"No, the smuggler!",1,3,
FINN,CHEWIE,297,Wasn't he a war hero?!,1,5,
REY,"HAN, FINN",298,This is the ship that made the Kessel Run in fourteen parsecs...!,2,12,
HAN,"REY, FINN",299,Twelve! Fourteen.,1,2,
HAN,"REY, FINN",300,Hey! Some moof-milker put a compressor on the ignition line!,2,10,
REY,HAN,301,"Unkar Plutt did. I thought it was a mistake too, puts too much stress on the hyperdrive--",3,17,
HAN,REY,302,--Stress on the hyperdrive--,1,4,
HAN,CHEWIE,303,"Chewie, throw 'em in a pod, we'll drop them at the nearest inhabited planet.",3,14,
REY,HAN,304,Wait! No-- we need your help!,1,6,
HAN,REY,305,My help?,1,2,
REY,HAN,306,This droid has to get to the Resistance base as soon as possible!,2,13,
FINN,HAN,307,He's carrying a map to Luke Skywalker. You are the Han Solo that fought with the Rebellion. You knew him.,3,20,
HAN,"FINN, REY",308,"Yeah, I knew him. I knew Luke. Don't tell me a Rathtar's gotten loose",2,14,
FINN,HAN,309,"Wait- what?! Did you just say Rathtars? Hey! You're not hauling Rathtars on this freighter, are you?",4,17,
HAN,"FINN, REY",310,I'm hauling Rathtars. Oh great. It's the Guavian Death Gang- they must've tracked us from Nantoon.,3,16,
REY,"FINN, HAN",311,What's a Rathtar?,1,3,
HAN,"FINN, REY",312,They're big and dangerous...,1,4,
FINN,REY,313,Y'ever heard of the Trillia Massacre?!,1,6,
REY,FINN,314,No.,1,1,
FINN,REY,315,Good.,1,1,
HAN,"FINN, REY",316,I got three of 'em going to King Prana.,2,9,
FINN,HAN,317,THREE?! How'd you get them on board?,1,7,
HAN,"FINN, REY",318,I used to have a bigger crew.,1,7,
HAN,"FINN, REY",319,Get below and stay there until I say so-- don't even think about taking the Falcon.,3,16,
REY,HAN,320,What about BB-8?,1,3,
HAN,"FINN, REY",321,"He stays with me -- until I get rid of the gang, then you can have him back and be on your way.",3,23,
FINN,HAN,322,What about the Rathtars... where are you keeping them?,2,9,
HAN,"FINN, REY",323,There's one.,1,2,
REY,HAN,324,What are you gonna do?,1,5,
HAN,"FINN, REY",325,Same thing I always do: talk my way out of it.,2,11,
HAN,CHEWIE,326,"Yes, I do. Every time.",1,5,
BALA-TIK,HAN,327,Han Solo. You are a dead man.,1,7,
HAN,BALA-TIK,328,Bala-Tik. What's the problem?,1,4,
BALA-TIK,HAN,329,The problem is we loaned you fifty thousand for this job.,2,11,
REY,FINN,330,Can you see them?,1,4,
FINN,REY,331,No.,1,1,
BALA-TIK,HAN,332,I heard you also borrowed fifty thousand from Kanjiklub.,2,9,
HAN,BALA-TIK,333,You know you can't trust those little freaks! How long've we known each other?,3,14,
REY,FINN,334,They have blasters...,1,3,
FINN,REY,335,A lot of them.,1,4,
BALA-TIK,HAN,336,The question is how much longer will we know each other? Not long. We want our money back now.,3,19,
HAN,BALA-TIK,337,Ya think hunting Rathtars is cheap? I spent that money.,2,10,
BALA-TIK,HAN,338,"Kanjiklub wants their investment back, too.",2,6,
HAN,BALA-TIK,339,I never made a deal with Kanjiklub!,1,7,
BALA-TIK,HAN,340,Tell that to Kanjiklub.,1,4,
HAN,TASU LEECH,341,Tasu Leech. Good to see you.,1,6,
TASU LEECH,HAN,342,"Wrong again, Solo. It's over for you.",2,7,
HAN,"TASU LEECH, BALA-TIK",343,Boys. You're both gonna get,1,5,
HAN,"TASU LEECH, BALA-TIK",344,what I promised! Have I ever not delivered for you before?,2,11,
BALA-TIK,HAN,345,Yeah.,1,1,
TASU LEECH,HAN,346,Twice!,1,1,
HAN,"TASU LEECH, BALA-TIK",347,What was the second time?,1,5,
BALA-TIK,HAN,348,Your game is old. There's no one in the galaxy left for you to swindle.,2,15,
TASU LEECH,HAN,349,Nowhere left for you to hide.,1,6,
BALA-TIK,HAN,350,That BB unit... the First Order is looking for one just like it.,2,13,
BALA-TIK,"HAN, BB8",351,And two fugitives.,1,3,
HAN,BALA-TIK,352,First I've heard of it.,1,5,
RAZOO QIN-FEE,BALA-TIK,353,Search the freighter.,1,3,
REY,FINN,354,"Wait wait wait wait. If we close the blast doors in that corridor, we can trap both gangs!",3,18,
FINN,REY,355,Close the blast doors from here?,1,6,
REY,FINN,356,Resetting the fuses should do it.,1,6,
HAN,CHEWIE,357,...I got a bad feeling about this...,1,7,
REY,FINN,358,Oh no.,1,2,
FINN,REY,359,"Oh no, what?",1,3,
REY,FINN,360,Wrong fuses.,1,2,
BALA-TIK,FINN,361,Kill them! And take the droid!,1,6,
FINN,REY,362,This was a mistake!,1,4,
REY,FINN,363,Huge! What do they look like?,2,6,
FINN,REY,364,They look like that. This way!,2,6,
REY,FINN,365,Are you sure?,1,3,
FINN,FINN,366,No no no,1,3,
REY,FINN,367,Finn!,1,1,
FINN,REY,368,Rey!,1,1,
REY,FINN,369,Finn!!!!,1,1,
FINN,REY,370,Get off! Rey!,1,3,
REY,FINN,371,Finn! Finn! Finn!,1,3,
FINN,REY,372,Get off me! Get off me! Get off! It had me! But the door--!,1,14,
REY,FINN,373,That was lucky!,1,3,
HAN,CHEWIE,374,I got the door. Cover us!,1,6,
HAN,CHEWIE,375,Chewie!,1,1,
HAN,CHEWIE,376,You okay?,1,2,
HAN,CHEWIE,377,Wow. Come on! Come on!,1,5,
REY,HAN,378,Han!,1,1,
HAN,REY,379,"You, close the door behind us!",1,6,
HAN,FINN,380,You take care of Chewie!,1,5,
HAN,REY,381,"Hey, where are you going?",1,5,
REY,HAN,382,Unkar Plutt installed a fuel pump too -- if we don't prime that we're not going anywhere.,3,17,
HAN,REY,383,I hate that guy.,1,4,
REY,FINN,384,And you could use a co-pilot.,1,6,
HAN,REY,385,"I got one, he's back there. Watch the thrust, we're goin' out of here at lightspeed--",3,16,
REY,HAN,386,From inside the hangar? Is that even possible?,2,8,
HAN,REY,387,I never ask that question until after I've done it.,2,10,
HAN,HAN,388,This is not how I thought this day was gonna go--,1,11,
HAN,REY,389,angle the shields-- Hang on back there!,2,7,
FINN,HAN,390,No problem!,1,2,
HAN,FALCON,391,"Come on baby, don't let me down!",1,7,
HAN,HAN,392,What?!,1,1,
REY,HAN,393,Compressor.,1,1,
BALA-TIK,NA,394,Inform the First Order that Han Solo has the droid they want. And it's aboard the Millennium Falcon.,3,18,
SNOKE,"ARMITAGE HUX, KYLO REN",395,"The droid will soon be delivered to the Resistance... ...Leading them to the last Jedi. If Skywalker returns, the new Jedi will rise.",5,23,
ARMITAGE HUX,SNOKE,396,"Supreme Leader, I take full responsibility--",2,6,
SNOKE,ARMITAGE HUX,397,General! Our strategy must now change.,2,6,
ARMITAGE HUX,SNOKE,398,"The weapon. It is ready. I believe the time has come to use it. We shall destroy the government that supports the Resistance, the Republic. Without their friends to protect them, the Resistance will be vulnerable, and we will stop them before they reach Skywalker.",8,45,
SNOKE,ARMITAGE HUX,399,Go. Oversee preparations.,1,3,
ARMITAGE HUX,SNOKE,400,"Yes, Supreme Leader.",1,3,
SNOKE,KYLO REN,401,There's been an awakening. Have you felt it?,1,8,
KYLO REN,SNOKE,402,Yes.,1,1,
SNOKE,KYLO REN,403,"There's something more. The droid we seek is aboard the Millennium Falcon. In the hands of your father, Han Solo.",4,20,
KYLO REN,SNOKE,404,He means nothing to me.,1,5,
SNOKE,KYLO REN,405,"Even you, master of the Knights of Ren, have never faced such a test.",2,14,
KYLO REN,SNOKE,406,"By the grace of your training, I will not be seduced.",2,11,
SNOKE,KYLO REN,407,We shall see. We shall see.,1,6,
HAN,REY,408,Electrical overload!,1,2,
REY,HAN,409,I can fix that!,1,4,
HAN,REY,410,The coolant's leaking!,1,3,
REY,HAN,411,Try transferring auxiliary power to the secondary tank--,2,8,
HAN,REY,412,"--Secondary tank, I got it!",1,5,
FINN,CHEWIE,413,"Chewie, come on!",1,3,
FINN,"HAN, REY",414,I need help with this gianty hairy thing!,1,8,
FINN,CHEWIE,415,Stop moving!,1,2,
FINN,CHEWIE,416,Chewie!,1,1,
HAN,FINN,417,"You hurt Chewie, you're gonna deal with me!",2,8,
FINN,HAN,418,Hurt him?! He almost killed me six times!,2,8,
FINN,CHEWIE,419,Which is fine.,1,3,
HAN,REY,420,This hyperdrive blows there's gonna be pieces of us in three different systems. What'd you do?,4,16,
REY,HAN,421,I by-passed the compressor.,1,4,
HAN,BB8,422,"Huh. Move, Ball.",1,3,
HAN,CHEWIE,423,"Nah, don't say that, you did great. Just rest.",2,9,
