from,to,dialogue,yarn_id
OBI-WAN,ANAKIN,We're smarter than this.,875992
ANAKIN,OBI-WAN,Apparently not.,875992
ANAKIN,OBI-WAN,I say patience.,875993
OBI-WAN,ANAKIN,Patience?,875993
ANAKIN,OBI-WAN,"Yes, Artoo will be along in a few moments and then he'll release the ray shields.",875995
ANAKIN,OBI-WAN,See!,875996
ANAKIN,OBI-WAN,No problem.,875996
SUPER BATTLE DROID,"ANAKIN, OBI-WAN, PALPATINE",Don't move.,875997
OBI-WAN,ANAKIN,Do you have a plan B?,875999
GENERAL GRIEVOUS,OBI-WAN,Ah yes.,876000
GENERAL GRIEVOUS,OBI-WAN,"The Negotiator, General Kenobi.",876001
GENERAL GRIEVOUS,OBI-WAN,We've been waiting for you.,876001
GENERAL GRIEVOUS,OBI-WAN,That wasn't much of a rescue.,876003
GENERAL GRIEVOUS,ANAKIN,And Anakin Skywalker.,876005
GENERAL GRIEVOUS,ANAKIN,I was expecting someone with your reputation to be a little older.,876006
ANAKIN,GENERAL GRIEVOUS,General Grievous.,876007
ANAKIN,GENERAL GRIEVOUS,You're shorter than I expected.,876007
GENERAL GRIEVOUS,ANAKIN,Jedi scum.,876008
OBI-WAN,ANAKIN,We have a job to do.,876009
OBI-WAN,ANAKIN,"Anakin, try not to upset him.",876009
GENERAL GRIEVOUS,"ANAKIN, OBI-WAN",Your lightsabers will make a fine addition to my collection.,876010
OBI-WAN,GENERAL GRIEVOUS,Not this time.,876011
OBI-WAN,GENERAL GRIEVOUS,And this time you won't escape.,876011
ANAKIN,R2D2,Artoo.,876011
GENERAL GRIEVOUS,NA,Crush them!,876011
GENERAL GRIEVOUS,NA,Make them suffer!,876011
GENERAL GRIEVOUS,NA,Stay at your stations.,876016
R2D2,R2D2,[rapid beeping]
GENERAL GRIEVOUS,NA,Don't bother with them.,876020
GENERAL GRIEVOUS,NA,Keep the ship in orbit.,876020
GENERAL GRIEVOUS,OBI-WAN,"You lose, General Kenobi.",876021
GENERAL GRIEVOUS,GENERAL GRIEVOUS,Time to abandon ship.,876023
ANAKIN,OBI-WAN,All the escape pods have been launched.,876024
OBI-WAN,ANAKIN,Grievous.,876025
OBI-WAN,ANAKIN,Can you fly a cruiser like this?,876025
ANAKIN,OBI-WAN,"You mean, do I know how to land what's left of this thing?",876026
OBI-WAN,ANAKIN,Well?,876026
ANAKIN,OBI-WAN,"Under the circumstances, I'd say the ability to pilot this thing is irrelevant.",876027
ANAKIN,OBI-WAN,Strap yourselves in.,876028
ANAKIN,OBI-WAN,"Open all hatches, extend all flaps, and drag fins.",876029
R2D2,"ANAKIN, OBI-WAN",UH OH
ANAKIN,OBI-WAN,We lost something.,876030
OBI-WAN,ANAKIN,"Not to worry, we're still flying half a ship.",876031
ANAKIN,OBI-WAN,Now we're really picking up speed.,876032
OBI-WAN,ANAKIN,Eight plus sixty.,876033
OBI-WAN,ANAKIN,We're in the atmosphere.,876034
ANAKIN,OBI-WAN,Grab that.,876034
ANAKIN,OBI-WAN,Keep us level.,876034
OBI-WAN,ANAKIN,Steady.,876035
ANAKIN,R2D2,"Easy, Artoo.",876036
OBI-WAN,ANAKIN,Five thousand.,876037
OBI-WAN,ANAKIN,Fire ships on the left and the right.,876037
MALE VOICE,NA,We'll take you in,876038
OBI-WAN,NA,Copy that.,876038
OBI-WAN,ANAKIN,Landing strip's straight ahead.,876039
ANAKIN,OBI-WAN,We're coming in too hot.,876039
OBI-WAN,ANAKIN,Another happy landing.,876040
ANAKIN,OBI-WAN,"Are you coming, Master?",876041
OBI-WAN,ANAKIN,Oh no.,876041
OBI-WAN,ANAKIN,I'm not brave enough for politics.,876041
OBI-WAN,ANAKIN,I have to report to the Council.,876042
OBI-WAN,ANAKIN,"Besides, someone needs to be the poster boy.",876043
ANAKIN,OBI-WAN,"Hold on, this whole operation was your idea.",876044
OBI-WAN,ANAKIN,"Let us not forget, Anakin, that you rescued me from the Buzz Droids.",876045
OBI-WAN,ANAKIN,And you killed Count Dooku.,876046
OBI-WAN,ANAKIN,"And you rescued the Chancellor, carrying me unconscious on your back.",876047
ANAKIN,OBI-WAN,All because of your training.,876048
OBI-WAN,ANAKIN,"Anakin, let's be fair.",876049
OBI-WAN,ANAKIN,"Today, you were the hero and you deserve your glorious day with the politicians.",876050
ANAKIN,OBI-WAN,All right.,876051
ANAKIN,OBI-WAN,But you owe me one.,876051
ANAKIN,OBI-WAN,and not for saving your skin for the tenth time.,876051
OBI-WAN,ANAKIN,Ninth time.,876052
OBI-WAN,ANAKIN,that business on Cato Nemoidia doesn't- doesn't count.,876052
OBI-WAN,ANAKIN,I'll see you at the briefing.,876053
MACE WINDU,PALPATINE,"Chancellor Palpatine, are you all right?",876054
PALPATINE,MACE WINDU,"Yes, thanks to your two Jedi Knights.",876055
PALPATINE,MACE WINDU,"They killed Count Dooku, but General Grievous has escaped once again.",876056
MACE WINDU,PALPATINE,"General Grievous will run and hide, as he always does.",876057
MACE WINDU,PALPATINE,He's a coward.,876057
PALPATINE,MACE WINDU,"But with Count Dooku dead, he is the leader of the Droid Army, and I assure you, the Senate will vote to continue the war as long as Grievous is alive.",876059
MACE WINDU,PALPATINE,Then the Jedi Council will make finding Grievous our highest priority.,876060
THREEPIO,R2D2,"Come along, R2",876060
BAIL ORGANA,ANAKIN,The Republic cannot praise you enough.,876062
ANAKIN,BAIL ORGANA,"Thank you, Senator Organa.",876063
THREEPIO,R2D2,It couldn't possibly be as bad as all that.,876064
THREEPIO,R2D2,"Well, there, I agree with you.",876065
THREEPIO,R2D2,"In fact, I could do with a tune-up myself.",876066
ANAKIN,BAIL ORGANA,But the fighting will continue until General Grievous is spare parts.,876067
BAIL ORGANA,ANAKIN,"Well, I will do everything I can with the Senate.",876068
ANAKIN,BAIL ORGANA,Excuse me.,876069
BAIL ORGANA,ANAKIN,Certainly.,876069
PADME,ANAKIN,"Oh, Anakin!",876070
ANAKIN,PADME,"I've missed you, Padme.",876071
PADME,ANAKIN,There were whispers.,876072
PADME,ANAKIN,that you'd been killed.,876072
ANAKIN,PADME,I'm all right.,876073
ANAKIN,PADME,It feels like we've been apart for a lifetime.,876074
ANAKIN,PADME,And it might have been.,876075
ANAKIN,PADME,If the Chancellor hadn't been kidnapped.,876075
ANAKIN,PADME,I don't think they would have ever brought us back from the Outer Rim sieges.,876076
PADME,ANAKIN,"Wait, not here.",876077
ANAKIN,PADME,"Yes, here!",876077
ANAKIN,PADME,I'm tired of all this deception.,876078
ANAKIN,PADME,I don't care if they know we're married.,876078
PADME,ANAKIN,"Anakin, don't say things like that.",876079
ANAKIN,PADME,Are you all right?,876080
ANAKIN,PADME,You're trembling.,876080
ANAKIN,PADME,What's going on?,876081
PADME,ANAKIN,Something wonderful has happened.,876082
PADME,ANAKIN,"Ani, I'm pregnant.",876083
ANAKIN,PADME,That's.,876084
ANAKIN,PADME,Well that's wonderful.,876085
PADME,ANAKIN,What are we gonna do?,876086
ANAKIN,PADME,"We're not going to worry about anything right now, all right?",876087
ANAKIN,PADME,This is a happy moment.,876088
ANAKIN,PADME,The happiest moment of my life.,876089
GENERAL GRIEVOUS,PALPATINE,"Yes, Lord Sidious.",876090
PALPATINE,GENERAL GRIEVOUS,General Grievous.,876091
PALPATINE,GENERAL GRIEVOUS,I suggest you move the separatist leaders to Mustafar.,876092
GENERAL GRIEVOUS,PALPATINE,"It will be done, My Lord.",876093
PALPATINE,GENERAL GRIEVOUS,"The end of the war is near, General.",876094
GENERAL GRIEVOUS,PALPATINE,But the loss of Count Dooku?,876095
PALPATINE,GENERAL GRIEVOUS,His death was a necessary loss.,876096
PALPATINE,GENERAL GRIEVOUS,Soon I will have a new apprentice- one far younger and more powerful.,876098
PADME,ANAKIN,"Ani, I want to have our baby back home on Naboo.",876099
PADME,ANAKIN,We can go to the lake country where no one will know.,876100
PADME,ANAKIN,where we can be safe.,876101
PADME,ANAKIN,I can go early and fix up the baby's room.,876102
PADME,ANAKIN,"I know the perfect spot, right by the gardens.",876103
ANAKIN,PADME,You are so beautiful!,876104
PADME,ANAKIN,It's only because I'm so in love.,876105
ANAKIN,PADME,"No, no, it's because I'm so in love with you.",876107
PADME,ANAKIN,So love has blinded you?,876108
ANAKIN,PADME,"Well, that's not exactly what I meant.",876109
PADME,ANAKIN,But it's probably true!,876110
PADME,ANAKIN,"Anakin, help me!",876111
PADME,ANAKIN,What's bothering you?,876112
ANAKIN,PADME,Nothing.,876113
ANAKIN,PADME,I remember when I gave this to you.,876114
PADME,ANAKIN,How long is it going to take for us to be honest with each other?,876115
ANAKIN,PADME,It was a dream.,876116
PADME,ANAKIN,Bad?,876117
ANAKIN,PADME,Like the ones I used to have about my mother just before she died.,876119
PADME,ANAKIN,And?,876120
ANAKIN,PADME,And it was about you.,876121
PADME,ANAKIN,Tell me.,876122
ANAKIN,PADME,It was only a dream.,876123
ANAKIN,PADME,You die in childbirth.,876124
PADME,ANAKIN,And the baby?,876125
ANAKIN,PADME,I don't know.,876126
PADME,ANAKIN,It was only a dream.,876127
ANAKIN,PADME,I won't let this one become real.,876128
PADME,ANAKIN,This baby will change our lives.,876129
PADME,ANAKIN,"I doubt the Queen will continue to allow me to serve in the Senate, and if the Council discovers you are the father, you will be expelled-.",876130
ANAKIN,PADME,"I know, I know.",876132
PADME,ANAKIN,Do you think Obi-Wan might be able to help us?,876133
ANAKIN,PADME,We don't need his help.,876134
ANAKIN,PADME,Our baby is a blessing.,876135
YODA,ANAKIN,Premonitions.,876136
YODA,ANAKIN,premonitions.,876136
YODA,ANAKIN,Hm.,876136
YODA,ANAKIN,these visions you have.,876137
ANAKIN,YODA,"They are of pain, suffering, death.",876138
YODA,ANAKIN,"Yourself you speak of, or someone you know?",876140
ANAKIN,YODA,Someone.,876141
YODA,ANAKIN,close to you?,876142
ANAKIN,YODA,Yes.,876143
YODA,ANAKIN,"Careful you must be when sensing the future, Anakin.",876144
YODA,ANAKIN,The fear of loss is a path to the dark side.,876145
ANAKIN,YODA,"I won't let these visions come true, Master Yoda.",876146
YODA,ANAKIN,Death is a natural part of life.,876147
YODA,ANAKIN,Rejoice for those around you who transform into the Force.,876148
YODA,ANAKIN,"Mourn them, do not.",876149
YODA,ANAKIN,"Miss them, do not.",876149
YODA,ANAKIN,Attachment leads to jealousy.,876150
YODA,ANAKIN,"The shadow of greed, that is.",876151
ANAKIN,YODA,"What must I do, Master Yoda?",876152
YODA,ANAKIN,Train yourself to let go of everything you fear to lose.,876154
OBI-WAN,ANAKIN,You missed the report on the Outer Rim sieges.,876155
ANAKIN,OBI-WAN,"I'm sorry, I was held up.",876156
ANAKIN,OBI-WAN,I have no excuse.,876157
OBI-WAN,ANAKIN,"In short, they are going very well.",876157
OBI-WAN,ANAKIN,"Saleucami has fallen, and Master Vos has moved his troops to Boz Pity.",876158
ANAKIN,OBI-WAN,What's wrong then?,876159
OBI-WAN,ANAKIN,The Senate is expected to vote more executive powers to the Chancellor today.,876161
ANAKIN,OBI-WAN,"Well, that can only mean less deliberating and more action.",876162
ANAKIN,OBI-WAN,Is that bad?,876162
ANAKIN,OBI-WAN,It will make it easier for us to end this war.,876163
OBI-WAN,ANAKIN,Be careful of your friend Palpatine.,876164
ANAKIN,OBI-WAN,Be careful of what?,876165
OBI-WAN,ANAKIN,He has requested your presence.,876166
ANAKIN,OBI-WAN,What for?,876166
OBI-WAN,ANAKIN,He would not say.,876167
ANAKIN,OBI-WAN,He didn't inform the Council?,876167
ANAKIN,OBI-WAN,"That's unusual, isn't it?",876168
OBI-WAN,ANAKIN,"All of this is unusual, and it's making me feel uneasy.",876169
PALPATINE,ANAKIN,"I hope you trust me, Anakin.",876170
ANAKIN,PALPATINE,Of course.,876171
PALPATINE,ANAKIN,"I need your help, son.",876172
ANAKIN,PALPATINE,What do you mean?,876173
PALPATINE,ANAKIN,I'm depending on you.,876174
ANAKIN,PALPATINE,For what?,876174
ANAKIN,PALPATINE,I don't understand.,876174
PALPATINE,ANAKIN,"To be the eyes, ears and voice of the Republic.",876175
PALPATINE,ANAKIN,Anakin.,876176
PALPATINE,ANAKIN,I'm appointing you to be my personal representative on the Jedi Council.,876177
ANAKIN,PALPATINE,Me?,876178
ANAKIN,PALPATINE,A Master?,876178
ANAKIN,PALPATINE,"I am overwhelmed, sir, but the Council elects its own members.",876180
ANAKIN,PALPATINE,They'll never accept this.,876180
PALPATINE,ANAKIN,I think they will.,876181
PALPATINE,ANAKIN,they need you more than you know.,876182
YODA,ANAKIN,"Allow this appointment lightly, the Council does not.",876183
YODA,ANAKIN,Disturbing is this move by Chancellor Palpatine.,876184
ANAKIN,YODA,I understand.,876185
MACE WINDU,ANAKIN,"You are on this Council, but we do not grant you the rank of Master.",876186
ANAKIN,MACE WINDU,What?,876187
ANAKIN,MACE WINDU,How can you do this?,876188
ANAKIN,MACE WINDU,"This is outrageous, it's unfair.",876188
ANAKIN,MACE WINDU,How can you be on the Council and not be a Master?,876190
MACE WINDU,ANAKIN,"Take a seat, young Skywalker.",876191
ANAKIN,MACE WINDU,"Forgive me, Master.",876192
KI-ADI-MUNDI,GROUP,"We have surveyed all systems in the Republic, but have found no sign of General Grievous.",876194
YODA,KI-ADI-MUNDI,"Hiding in the Outer Rim, Grievous is.",876195
YODA,KI-ADI-MUNDI,"The outlying systems, you must sweep.",876196
OBI-WAN,YODA,We do not have many ships to spare.,876197
KI-ADI-MUNDI,YODA,What about the droid attack on the Wookiees?,876198
MACE WINDU,YODA,"It is critical we send an attack group there, immediately!",876199
OBI-WAN,YODA,"He's right, that is a system we cannot afford to lose.",876200
YODA,MACE WINDU,"Go, I will.",876201
YODA,MACE WINDU,"Good relations with the Wookiees, I have.",876202
MACE WINDU,"YODA, KI-ADI-MUNDI, OBI-WAN, ANAKIN",It is settled then.,876203
MACE WINDU,"YODA, KI-ADI-MUNDI, OBI-WAN, ANAKIN",Yoda will take a battalion of clones to reinforce the Wookiees on Kashyyyk.,876204
MACE WINDU,"YODA, KI-ADI-MUNDI, OBI-WAN, ANAKIN",May the Force be with us all.,876205
ANAKIN,OBI-WAN,"What kind of nonsense is this, put me on the Council and not make me a Master!",876206
ANAKIN,OBI-WAN,That's never been done in the history of the Jedi.,876208
ANAKIN,OBI-WAN,It's insulting!,876208
OBI-WAN,ANAKIN,"Calm down, Anakin.",876209
OBI-WAN,ANAKIN,You have been given a great honor.,876209
OBI-WAN,ANAKIN,To be on the Council at your age.,876210
OBI-WAN,ANAKIN,It's never happened before.,876210
OBI-WAN,ANAKIN,The fact of the matter is you're too close to the Chancellor.,876211
OBI-WAN,ANAKIN,The Council doesn't like it when he interferes in Jedi affairs.,876212
ANAKIN,OBI-WAN,"I swear to you, I didn't ask to be put on the Council.",876213
OBI-WAN,ANAKIN,But it's what you wanted!,876213
OBI-WAN,ANAKIN,Your friendship with Chancellor Palpatine seems to have paid off.,876214
ANAKIN,OBI-WAN,That has nothing to do with this.,876215
OBI-WAN,ANAKIN,The only reason the Council has approved your appointment is because the Chancellor trusts you.,876216
ANAKIN,OBI-WAN,And?,876218
OBI-WAN,ANAKIN,"Anakin, I am on your side.",876218
OBI-WAN,ANAKIN,I didn't want to put you in this situation.,876219
ANAKIN,OBI-WAN,What situation?,876219
OBI-WAN,ANAKIN,The Council wants you to report on all of the Chancellor's dealings.,876220
OBI-WAN,ANAKIN,They want to know what he's up to.,876221
ANAKIN,OBI-WAN,They want me to spy on the Chancellor?,876222
ANAKIN,OBI-WAN,That's treason!,876223
OBI-WAN,ANAKIN,"We are at war, Anakin.",876223
ANAKIN,OBI-WAN,Why didn't the Council give me this assignment when we were in session?,876224
OBI-WAN,ANAKIN,This assignment is not to be on record.,876225
ANAKIN,OBI-WAN,"The Chancellor is not a bad man, Obi-Wan.",876226
ANAKIN,OBI-WAN,He befriended me.,876227
ANAKIN,OBI-WAN,He's watched out for me ever since I arrived here.,876227
OBI-WAN,ANAKIN,That is why you must help us.,876228
OBI-WAN,ANAKIN,"Anakin, our allegiance is to the Senate, not to its leader who has managed to stay in office long after his term has expired.",876230
ANAKIN,OBI-WAN,The Senate demanded that he stay longer.,876231
OBI-WAN,ANAKIN,"Yes, but use your feelings, Anakin.",876232
OBI-WAN,ANAKIN,Something is out of place.,876232
ANAKIN,OBI-WAN,You're asking me to do something against the Jedi Code.,876233
ANAKIN,OBI-WAN,Against the Republic.,876234
ANAKIN,OBI-WAN,Against a mentor.,876234
ANAKIN,OBI-WAN,and a friend.,876234
ANAKIN,OBI-WAN,That's what's out of place here.,876235
ANAKIN,OBI-WAN,Why are you asking this of me?,876235
OBI-WAN,ANAKIN,The Council is asking you.,876236
OBI-WAN,"MACE WINDU, YODA",Anakin did not take to his assignment with much enthusiasm.,876237
